## UBS LP Classification by UBS advance rate (UBSAR) — the SAME threshold ranges Run Shadow BB uses
## (classification_config.AGENT_RATE_UBS_TIERS, applied by ubsClassFromAgentRate). A rate maps to the
## class of the highest 'min_advance_rate_pct' it meets or exceeds; the min=0 floor (Excluded) catches
## every value, so this ALWAYS resolves — there is no "unmatched" case. Keep in sync with Config.
min_advance_rate_pct,ubs_classification
90,Rated Investor
75,Unrated NAV > $1Bn
65,Corp Pension > $5Bn Assets
50,Other Institutional
0,Excluded
